,,,,,,,,,,,
,,,,,,,,,,,
,,,22 -,10 - 25,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
PLANILLA DE STOCK Y UBICACIONES,,,,,,PLANILLA IMPORTADA DEL SISTEMA,,,,COMPARADOR,
CODIGO SERVER,CODIGO NUEVO,DESCRIPCION,STOCK,UBICACIÓN,,CODIGO,DESCRIPCION,STOCK,,CODIGO,STOCK
M5563113234,,Helice plastica,10,A1A,,,,,,SI,NO
M5573213234,,Impeller,10,,,,,,,SI,NO
M6343547011,,CABLE BUSHING,135,A1A,,,,,,SI,NO
M6445017612,,Caja de bornes,32,A1A,,,,,,SI,NO
M6500841040,,Conector,300,c6B,,,,,,SI,NO
M6503241040,,Conector,234,c6b,,,,,,SI,NO
M6744517612,,Caja de bornes,2,c4b,,,,,,SI,NO
M6977547623,,Screwed cable,5,c6B,,,,,,SI,NO
M7216076201,,Pan head screw,110,c6B,,,,,,SI,NO
M7812824039,,REJA PLANA 200mm DIAMETRO,94,A1A,,,,,,SI,NO
M8000022957,,Flowgrid,27,d6a - B11B,,,,,,SI,NO
M8000122957,,Flowgrid,3,,,,,,,SI,NO
M8200112960,,Tapa del cono difusor de axitop,19,A1A,,,,,,SI,NO
M8215022910,,Cono difusor axitop,19,G8B,,,,,,SI,NO
M8300100104,,Centrifugal Fan,64,G5A - F3ABC - F2C - c9a,,,,,,SI,NO
M8300100633,,Centrifugal Blower,1,B2A,,,,,,SI,NO
M8300100729,,Electronically comm. motor,38,G2BC - G5A,,,,,,SI,NO
M9100022957,,Flowgrid 910 mm,13,B1A,,,,,,SI,NO
M9635824013,,Difusor de aire,3,A1A,,,,,,SI,NO
M9636024013,,Reja,1,A1A,,,,,,SI,NO
MA3GZ50AK1535,,Ventilador axial,3,d6A - CONOS AGRICULTURA,,,,,,SI,NO
MA4E300AS7212,,Ventilador axial 300 mm,325,D10ABC - D9ABC,,,,,,SI,NO
MA4E400AP0226,,Ventilador axial 400 mm,20,G11A - c9a,,,,,,SI,NO
MA6D800AD0135,,Ventilador Axial,5,C6C,,,,,,SI,NO
MA6D910AA0101,,Ventilador Axial 910 mm HB,2,A9BC,,,,,,SI,NO
MA6D910AI0135,,AXIAL FAN,6,c6C,,,,,,SI,NO
MA8D630AN0101,,Ventilador axial 630 mm,7,A11A,,,,,,SI,NO
MD1G146LU0101,,Soplador 146 mm,129,A3AB - A10A,,,,,,SI,NO
MD3G146LV1330,,Soplador centrifugo 146 mm,134,d3ab - D5A,,,,,,SI,NO
MD3G160HA0402,,Centrifugal blower,47,G6B - G7C,,,,,,SI,NO
MD3G200HD0202,,Soplador centrifugo 200 mm,56,G3BC - G7BC - d5c,,,,,,SI,NO
MD4E225CC0102,,SOPLADOR CENTRÍFUGO 225mm,81,D7A - D6ABC - G6A - D5C,,,,,,SI,NO
MD4E250CA0101,,SOPLADOR CENTRIFUGO 250mm,18,D7B - d5b,,,,,,SI,NO
MDPC200-EP2000,,Controlador,79,,,,,,,SI,NO
MDPC200-MOD,,Differential Pressure Controller,2,,,,,,,SI,NO
MK3G097BK3242,,Soplador Centrifugo 97 mm,5,G3A,,,,,,SI,NO
MK3G175RC0503,,Ventilador Centrifugo,28,c10A,,,,,,SI,NO
MK3G225RF5311,,Centrifugal Fan,10,D7C,,,,,,SI,NO
MK3G250PR02J2,,Soplador 250 mm,65,G7A - G8C - G9ABC - C9B,,,,,,SI,NO
MK3G250RD1703,,Centrifugal Fan,8,C8B,,,,,,SI,NO
MK3G310PH5807,,Ventilador Centrifugo,3,,,,,,,SI,NO
MK3G310PV6813,,Ventilador Centrifugo,67,F4ABC - F5ABC - F6A,,,,,,SI,NO
MK3G355AY4035,,Centrifugal fan,8,d4ab,,,,,,SI,NO
MK3G355PV7111,,Centrifugal Fan,34,F10ABC - G6C,,,,,,SI,NO
MK3G400PA4113,,Centrifugal fan,50,F1ABC - F2AB,,,,,,SI,NO
MK3G400RJ7510,,Soplador 400 mm,20,F6BC,,,,,,SI,NO
MK3G450PB2405,,Ventilador Centrifugo 450,24,F8A - A10B - 1u la esta probando lean,,,,,,SI,NO
MK3G500PA2371,,Soplador 500 mm,1,zona pedidos,,,,,,SI,NO
MK3G500RA2471,,Soplador,32,F8C - F9ABC,,,,,,SI,NO
MK3G560HE0701,,Centrifugal Fan,6,G3BC - G4ABC - zona revision,,,,,,SI,NO
MK3G560PB3171,,Centrifugal Fan,3,c10b,,,,,,SI,NO
MR2D280AF1009,,Ventilador Centrifugo,1,C9B,,,,,,SI,NO
MR2E190RA2605,,Ventilador centrifugo 190 mm,227,c3c,,,,,,SI,NO
MR2E220AA4005,,VENTILADOR CENTRIFUGO 220mm,47,c9b,,,,,,SI,NO
MR2E220AD1911,,Ventilador centrifugo 220 mm,2,A2B,,,,,,SI,NO
MR2E225BD9209,,VENTILADOR CENTRÍFUGO 225 MM,18,C9B - c4b,,,,,,SI,NO
MR4S225AD0205,,VENTILADOR CENTRÍFUGO 225mm,9,A4C,,,,,,SI,NO
MS1G300DN0102,,Ventilador axial 300 mm,148,c4B - c8A - D4B - G8A,,,,,,SI,NO
MS1G300DO02XA,,Ventilador axial 300 mm,1,c4b,,,,,,SI,NO
MS3G350AG0350,,Ventilador axial 350 mm,1,A11A,,,,,,SI,NO
MS3G400AN0450,,Ventilador axial 400 mm,2,A11A,,,,,,SI,NO
MS3GZ50DK1535,,Ventilador Axial,1,D8B,,,,,,SI,NO
MS4D450AN1401,,Ventilador axial 450 mm c/reja,8,c3a,,,,,,SI,NO
MS6D800DD0135,,Ventilador Axial,5,B2B,,,,,,SI,NO
MS6D910DB0135,,Ventilador Axial,1,D8B,,,,,,SI,NO
MS6E500DG03XA,,Ventilador Axial 500mm,1,B1B,,,,,,SI,NO
MW1G200EC9145,,Wall ring axial fan,2,c4b,,,,,,SI,NO
MW1G200HH7752,,Ventilador axial 200 mm,15,C4B,,,,,,SI,NO
MW2D250GA0409,,Ventilador axial 250 mm,1,A2B,,,,,,SI,NO
MW2E142BB0101,,VENTILADOR COMPACTO 142mm,21,C9A - C1A,,,,,,SI,NO
MW2E143AA0901,,Ventilador compacto 143 mm,10,C9A,,,,,,SI,NO
MW2E200HK3801,,Ventilador Axial 200 mm,301,C9C - d5bc,,,,,,SI,NO
MW2E200HK8601,,Ventilador Axial 200 mm,10,C9A,,,,,,SI,NO
MW2E250HJ3201,,Ventilador axial,5,C9B,,,,,,SI,NO
MW2E250HL0601,,VENTILADOR COMPACTO 250mm,82,d5a - c8a - C1A,,,,,,SI,NO
MW2G130AA3301,,Ventilador Axial 130 mm,10,C1A - C4C,,,,,,SI,NO
MW2S130AA0301,,VENTILADOR COMPACTO 130mm,899,c4c - c5bc,,,,,,SI,NO
MW2S130AA2501,,Ventilador Axial 130 mm,22,C9A - C1A,,,,,,SI,NO
MW3G710GO8190,,Ventilador axial 710 mm,53,B9AB - B10AB - B11A - B7B - B8AB - d6b,,,,,,SI,NO
MW3G910KS3503,,Ventilador axial 910 mm,37,D3AB - D1AB - D2AB - B6B - D4A,,,,,,SI,NO
MW4D630CR0180,,VUR0630H5RNZ Ventilador,1,C10A,,,,,,SI,NO
MW4S200CA0201,,Ventilador axial 200 mm,1,A2B,,,,,,SI,NO
MW6D500CJ0180,,Ventilador axial,2,C10A,,,,,,SI,NO
MW6D630CN0981,,Ventilador,1,C10A,,,,,,SI,NO
N8350000104,,INTELLIGATE AIR GATEWAY,2,,,,,,,SI,NO
S3212JN,#N/D,Ventilador compacto 92 X 92 mm,12,A1A,,,,,,NO,NO
S3214J/37NR-350,,,7,A2B,,,,,,SI,NO
S3656U-714,9244014714,Ventilador compacto 92 X 92 mm,7,A2B,,,,,,NO,NO
S414/2,9291708046,Ventilador Compacto 40 x 40 x 20 mm,8,A1A,,,,,,NO,NO
S4412/12M,,Ventilador compacto,2,A2B,,,,,,SI,NO
S7118N,#N/D,VENTILADOR COMPACTO D=150x38mm,5,A1A,,,,,,NO,NO
S9274014116,,4600 N,6,C4B,,,,,,SI,NO
S9274014139,,4656N Ventilador axial,1133,C1A - c6a - c9c,,,,,,SI,NO
S9292207007,,624 M Fan housing axial fan,600,A4C - C8B,,,,,,SI,NO
S9294310103,,4184 NX,38,C4B,,,,,,SI,NO
S9295416100,,6318/2TDH4P,14,A1B,,,,,,SI,NO
S9295420301,,6318 N/2TDH3PU Ventilador axial,75,C1A,,,,,,SI,NO
S9693520192,,3214 JH3,1,A2B,,,,,,SI,NO
SBCI6355,,VBS0125XUJBS Ventilador Centrifugo,1,A1A,,,,,,SI,NO
SLZ304,,S9920030004 Rejilla,6,A1A,,,,,,SI,NO
UDPC200-EP2000,,Controlador,10,En el Galpon - pedido Gentile - en una caja contra la ventana - C9B - c6a - c5b,,,,,,SI,NO
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
,,,,,,,,,,SI,SI
